,species,sex,age,locality,elevation,elev_cat,lat,lon,tHbcorr
404,Troglodytes aedon,male,0,San Pedro de Casta - Potago,3905,h,-11.7677,-76.53461667,19.5
406,Zonotrichia capensis,female,0,Macate,3931,h,-8.75236,-78.03402,16.8
407,Zonotrichia capensis,male,0,Macate,3931,h,-8.75236,-78.03402,17.7
408,Troglodytes aedon,male,0,Carampoma,3959,h,-11.6274,-76.43416667,19.3
409,Troglodytes aedon,male,0,Carampoma,3967,h,-11.62798333,-76.43485,20.4
410,Troglodytes aedon,male,0,Carampoma,3973,h,-11.62765,-76.43425,19.8
413,Zonotrichia capensis,female,0,Bosque Cachil,2550,m,-7.403833333,-78.77603333,13.2
414,Zonotrichia capensis,female,0,Bosque Cachil,2550,m,-7.403833333,-78.77978333,14.9
415,Troglodytes aedon,female,0,Bosque Cachil,2550,m,-7.403833333,-78.77978333,14.4
416,Troglodytes aedon,female,0,Bosque Cachil,2550,m,-7.403833333,-78.77978333,13.8
418,Zonotrichia capensis,male,0,Bosque Cachil,2550,m,-7.403833333,-78.77978333,14.8
419,Zonotrichia capensis,male,0,Bosque Cachil,2550,m,-7.403833333,-78.77978333,16.4
420,Zonotrichia capensis,male,0,Bosque Cachil,2550,m,-7.403833333,-78.77978333,16.7
424,Troglodytes aedon,male,0,Tampumayu,2671,m,-14.17391667,-73.32313889,17.5
426,Troglodytes aedon,male,0,Tampumayu,2671,m,-14.17391667,-73.32313889,17.3
428,Troglodytes aedon,female,0,Tampumayu,2672,m,-14.17391667,-73.32313889,16.6
430,Troglodytes aedon,female,0,San Pedro de Casta,4116,h,-11.76706667,-76.52833333,14.9
433,Zonotrichia capensis,male,0,Contunapampa,4166,h,-11.7682,-76.52406667,20.3
436,Troglodytes aedon,male,0,Contunapampa,4188,h,-11.76685,-76.52241667,19.6
437,Troglodytes aedon,male,0,Contunapampa,4233,h,-11.76461667,-76.51785,16.9
440,Zonotrichia capensis,female,0,Anco Cahua,2975,m,-17.32088333,-70.24773333,13.6
441,Troglodytes aedon,female,0,Anco Cahua,2975,m,-17.32088333,-70.24773333,13.2
442,Troglodytes aedon,male,0,Anco Cahua,2975,m,-17.32088333,-70.24773333,15.6
444,Troglodytes aedon,male,0,Anco Cahua,2975,m,-17.32088333,-70.24773333,15.7
445,Zonotrichia capensis,male,0,Anco Cahua,2975,m,-17.32088333,-70.24773333,17.9
446,Troglodytes aedon,female,0,Anco Cahua,2975,m,-17.32088333,-70.24773333,15.6
447,Zonotrichia capensis,male,0,,39,l,-10.06811667,-78.13603333,18
463,Troglodytes aedon,male,0,Rio Santa,357,l,-8.69485,-78.37861,14.6
464,Zonotrichia capensis,male,0,Huac1,3120,h,-13.62533333,-71.718,17.3
465,Troglodytes aedon,male,0,Rio Santa,357,l,-8.69485,-78.37861,17.4
466,Zonotrichia capensis,female,0,Rio Santa,357,l,-8.69485,-78.37861,16.5
469,Troglodytes aedon,female,0,Huachipa,366,l,-12.0084,-76.92101667,14.7
470,Zonotrichia capensis,female,0,Huachipa-Choclo,372,l,-12.00148333,-76.92081667,16.4
471,Troglodytes aedon,female,0,Huachipa-Choclo,372,l,-12.00148333,-76.92081667,15.4
472,Zonotrichia capensis,male,0,Huachipa-Choclo,372,l,-12.00148333,-76.92081667,18
474,Zonotrichia capensis,male,0,Locumba,740,l,-17.56136167,-70.67236167,15
475,Zonotrichia capensis,female,0,Locumba,740,l,-17.56136167,-70.67236167,14.4
